Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Operante
Data Inicial: 2019-03-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-05-02;.2;961.370833;null;31.4;25.520833;21.8;null;null;7.1;2.433333;
2019-05-03;0;961.3875;null;29.8;25.370833;24;null;null;12.6;2.345833;
2019-05-04;2.2;961.941667;null;31;25.366667;21.8;null;null;8.9;2.7125;
2019-05-05;0;961.679167;null;31.9;26.879167;23.1;null;null;7.1;2.708333;
2019-05-06;0;962.6;null;32.2;27.725;24.8;null;null;7.7;2.508333;
2019-05-07;0;961.825;null;32.1;27.470833;23;null;null;5.7;1.975;
2019-05-08;0;961.383333;null;33;27.975;24.5;null;null;5.8;1.7125;
2019-05-09;0;960.575;null;32.2;27.525;23;null;null;7.2;2.266667;
2019-05-10;0;959.7125;null;32.3;28.008333;24;null;null;9.7;2.329167;
2019-05-11;0;960.0125;null;32.8;28.2125;23.9;null;null;6.4;2.3375;
2019-05-12;0;961.629167;null;32.6;27.8875;23.3;null;null;8.4;2.641667;
2019-05-13;0;962.483333;null;32.6;27.641667;22.7;null;null;7.1;2.579167;
2019-05-14;0;962.158333;null;32.1;26.9;22.1;null;null;8.5;3.420833;
2019-05-15;0;961.283333;null;31.1;25.333333;21.6;null;null;10.4;3.7625;
2019-05-16;.2;963.2875;null;26.8;22.8375;20.2;null;null;9.9;2.429167;
2019-05-17;.2;962.6125;null;29.2;24.008333;20.5;null;null;7.2;2.966667;
2019-05-18;0;962.204167;null;30.1;24.795833;20.9;null;null;6;2.929167;
2019-05-19;0;962.125;null;31.3;25.879167;21.8;null;null;8.3;3.3;
2019-05-20;0;961.679167;null;31.7;26.425;22;null;null;8.7;2.925;
2019-05-21;0;961.666667;null;32.1;27.004167;21.8;null;null;6.9;2.691667;
2019-05-22;0;961.920833;null;32.6;27.1625;23;null;null;8.2;2.691667;
2019-05-23;0;961.541667;null;32.6;28.041667;23.4;null;null;5.7;2.133333;
2019-05-24;0;961.8875;null;31.5;26.4125;23.9;null;null;6.4;2.991667;
2019-05-25;0;961.9875;null;30.9;25.708333;21.5;null;null;6.9;2.8375;
2019-05-26;0;961.8125;null;32.6;27.004167;22.6;null;null;7.5;2.833333;
2019-05-27;0;961.675;null;32.8;27.733333;24.1;null;null;7.3;3.0375;
2019-05-28;0;961.625;null;32;27.4125;24.3;null;null;9.5;2.9;
2019-05-29;0;962.358333;null;32.3;27.054167;22.5;null;null;8.5;3.191667;
2019-05-30;0;961.691667;null;32.1;27.875;24.5;null;null;6.9;2.3875;
2019-05-31;0;961.483333;null;32.3;28.216667;24.5;null;null;6.9;1.725;
2019-06-01;0;961.520833;null;32.4;27.958333;22.7;null;null;6.4;1.829167;
2019-06-02;0;961.854167;null;32.7;28.204167;23.6;null;null;7.1;2.366667;
2019-06-03;0;963.7125;null;33.4;28.041667;23.6;null;null;8.3;2.791667;
2019-06-04;0;964.391667;null;31.7;26.045833;21.6;null;null;9.5;4.3125;
2019-06-05;0;963.729167;null;31.7;25.5125;21;null;null;11.2;4.720833;
2019-06-06;7.8;963.258333;null;30.4;25.2125;20.8;null;null;10.1;3.933333;
2019-06-07;0;963.491667;null;29.9;24.829167;21.1;null;null;11.1;4.041667;
2019-06-08;0;964.283333;null;30.7;24.979167;19.8;null;null;9.2;3.233333;
2019-06-09;0;964.404167;null;31.5;26.270833;20.2;null;null;7.9;2.604167;
2019-06-10;0;964.379167;null;31;26.175;22.9;null;null;9.4;3.1375;
2019-06-11;0;964.275;null;30.9;25.904167;21.3;null;null;11;3.625;
2019-06-12;0;964.05;null;31.9;26.0125;21.8;null;null;10.1;3.591667;
2019-06-13;0;964.533333;null;31.2;25.9625;21.3;null;null;11;3.595833;
2019-06-14;0;964.825;null;31.5;26.079167;22;null;null;11.3;3.608333;
2019-06-15;0;964.5875;null;31;25.566667;21.9;null;null;11.1;4.591667;
2019-06-16;0;965.666667;null;31.1;25.258333;21.3;null;null;10.4;3.829167;
2019-06-17;0;965.3;null;30.9;25.2375;19.6;null;null;8;2.945833;
2019-06-18;0;964.495833;null;31.3;26.3125;21.4;null;null;7.7;2.3;
2019-06-19;0;965.0375;null;31.7;26.820833;22.5;null;null;7.7;2.9125;
2019-06-20;0;965.4125;null;32.8;26.975;22;null;null;10.5;3.395833;
2019-06-21;0;965.658333;null;32.3;26.475;21.3;null;null;9.8;3.541667;
2019-06-22;0;967.179167;null;31.1;25.8875;21.7;null;null;12.1;4.108333;
2019-06-23;0;966.395833;null;30.7;25.141667;20.4;null;null;11.6;3.608333;
2019-06-24;0;963.65;null;31.6;25.658333;22;null;null;10.6;3.179167;
2019-06-25;0;962.45;null;32;27.3625;23.1;null;null;8.3;2.070833;
2019-06-26;0;963.325;null;32.6;26.8625;22.5;null;null;7.8;2.7625;
2019-06-27;0;963.408333;null;33.2;26.891667;21.3;null;null;13;3.7;
2019-06-28;0;963.266667;null;32.1;25.920833;20.6;null;null;8.5;3.8;
2019-06-29;0;962.979167;null;31.5;26.354167;22.1;null;null;10.8;3.691667;
2019-06-30;0;963.483333;null;31.7;25.854167;22;null;null;9.6;3.645833;
2019-07-01;0;963.3625;null;31.5;26.741667;22.4;null;null;10.2;2.716667;
2019-07-02;0;960.854167;null;32.1;26.779167;20.6;null;null;9.1;2.3875;
2019-07-03;0;960.529167;null;32;27.133333;18.5;null;null;6.3;1.933333;
2019-07-04;0;961.5625;null;33.3;27.791667;22.9;null;null;7.8;1.85;
2019-07-05;0;963.783333;null;34.6;28.683333;22.8;null;null;6.8;2.016667;
2019-07-06;0;965.0375;null;30.1;25.008333;21.1;null;null;11.3;6.0125;
2019-07-07;0;965.170833;null;29.4;22.241667;16.4;null;null;14.5;6.070833;
2019-07-08;null;null;null;null;null;null;null;null;8;null;
2019-07-09;null;null;null;null;null;null;null;null;null;null;
2019-07-10;null;null;null;null;null;null;null;null;null;null;
2019-07-11;null;null;null;null;null;null;null;null;null;null;
2019-07-12;null;null;null;null;null;null;null;null;null;null;
2019-07-13;null;null;null;null;null;null;null;null;null;null;
2019-07-14;null;null;null;null;null;null;null;null;null;null;
2019-07-15;null;null;null;null;null;null;null;null;null;null;
2019-07-16;null;null;null;null;null;null;null;null;null;null;
2019-07-17;null;null;null;null;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;null;null;null;null;
2019-07-19;null;null;null;null;null;null;null;null;null;null;
2019-07-20;null;null;null;null;null;null;null;null;null;null;
2019-07-21;null;null;null;null;null;null;null;null;null;null;
2019-07-22;null;null;null;null;null;null;null;null;null;null;
2019-07-23;null;null;null;null;null;null;null;null;null;null;
2019-07-24;null;null;null;null;null;null;null;null;null;null;
2019-07-25;null;null;null;null;null;null;null;null;null;null;
2019-07-26;null;null;null;null;null;null;null;null;null;null;
2019-07-27;null;null;null;null;null;null;null;null;null;null;
2019-07-28;null;null;null;null;null;null;null;null;null;null;
2019-07-29;null;null;null;null;null;null;null;null;null;null;
2019-07-30;null;null;null;null;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;null;null;null;null;
2019-08-01;null;null;null;null;null;null;null;null;null;null;
2019-08-02;null;null;null;null;null;null;null;null;null;null;
2019-08-03;null;null;null;null;null;null;null;null;null;null;
2019-08-04;null;null;null;null;null;null;null;null;null;null;
2019-08-05;null;null;null;null;null;null;null;null;null;null;
2019-08-06;null;null;null;null;null;null;null;null;null;null;
2019-08-07;null;null;null;null;null;null;null;null;null;null;
2019-08-08;null;null;null;null;null;null;null;null;null;null;
2019-08-09;null;null;null;null;null;null;null;null;null;null;
2019-08-10;null;null;null;null;null;null;null;null;null;null;
2019-08-11;null;null;null;null;null;null;null;null;null;null;
2019-08-12;null;null;null;null;null;null;null;null;null;null;
2019-08-13;null;null;null;null;null;null;null;null;null;null;
2019-08-14;null;null;null;null;null;null;null;null;null;null;
2019-08-15;null;null;null;null;null;null;null;null;null;null;
2019-08-16;null;null;null;null;null;null;null;null;null;null;
2019-08-17;null;null;null;null;null;null;null;null;null;null;
2019-08-18;null;null;null;null;null;null;null;null;null;null;
2019-08-19;null;null;null;null;null;null;null;null;null;null;
2019-08-20;null;null;null;null;null;null;null;null;null;null;
2019-08-21;null;null;null;null;null;null;null;null;null;null;
2019-08-22;null;null;null;null;null;null;null;null;null;null;
2019-08-23;null;null;null;null;null;null;null;null;null;null;
2019-08-24;null;null;null;null;null;null;null;null;null;null;
2019-08-25;null;null;null;null;null;null;null;null;null;null;
2019-08-26;null;null;null;null;null;null;null;null;null;null;
2019-08-27;null;null;null;null;null;null;null;null;null;null;
2019-08-28;null;null;null;null;null;null;null;null;null;null;
2019-08-29;null;null;null;null;null;null;null;null;null;null;
2019-08-30;null;null;null;null;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;null;null;null;null;
2019-09-01;null;null;null;null;null;null;null;null;null;null;
2019-09-02;null;null;null;null;null;null;null;null;null;null;
2019-09-03;null;null;null;null;null;null;null;null;null;null;
2019-09-04;null;null;null;null;null;null;null;null;null;null;
2019-09-05;null;null;null;null;null;null;null;null;null;null;
2019-09-06;null;null;null;null;null;null;null;null;null;null;
2019-09-07;null;null;null;null;null;null;null;null;null;null;
2019-09-08;null;null;null;null;null;null;null;null;null;null;
2019-09-09;null;null;null;null;null;null;null;null;null;null;
2019-09-10;null;null;null;null;null;null;null;null;null;null;
2019-09-11;null;null;null;null;null;null;null;null;null;null;
2019-09-12;null;null;null;null;null;null;null;null;null;null;
2019-09-13;null;null;null;null;null;null;null;null;null;null;
2019-09-14;null;null;null;null;null;null;null;null;null;null;
2019-09-15;null;null;null;null;null;null;null;null;null;null;
2019-09-16;null;null;null;null;null;null;null;null;null;null;
2019-09-17;null;null;null;null;null;null;null;null;null;null;
2019-09-18;null;null;null;null;null;null;null;null;null;null;
2019-09-19;null;null;null;null;null;null;null;null;null;null;
2019-09-20;null;null;null;null;null;null;null;null;null;null;
2019-09-21;null;null;null;null;null;null;null;null;null;null;
2019-09-22;null;null;null;null;null;null;null;null;null;null;
2019-09-23;null;null;null;null;null;null;null;null;null;null;
2019-09-24;null;null;null;null;null;null;null;null;null;null;
2019-09-25;null;null;null;null;null;null;null;null;null;null;
2019-09-26;null;null;null;null;null;null;null;null;null;null;
2019-09-27;null;null;null;null;null;null;null;null;null;null;
2019-09-28;null;null;null;null;null;null;null;null;null;null;
2019-09-29;null;null;null;null;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;null;null;null;null;
2019-10-01;null;null;null;null;null;null;null;null;null;null;
2019-10-02;null;null;null;null;null;null;null;null;null;null;
2019-10-03;null;null;null;null;null;null;null;null;null;null;
2019-10-04;null;null;null;null;null;null;null;null;null;null;
2019-10-05;null;null;null;null;null;null;null;null;null;null;
2019-10-06;null;null;null;null;null;null;null;null;null;null;
2019-10-07;null;null;null;null;null;null;null;null;null;null;
2019-10-08;null;null;null;null;null;null;null;null;null;null;
2019-10-09;null;null;null;null;null;null;null;null;null;null;
2019-10-10;null;null;null;null;null;null;null;null;null;null;
2019-10-11;null;null;null;null;null;null;null;null;null;null;
2019-10-12;null;null;null;null;null;null;null;null;null;null;
2019-10-13;null;null;null;null;null;null;null;null;null;null;
2019-10-14;null;null;null;null;null;null;null;null;null;null;
2019-10-15;null;null;null;null;null;null;null;null;null;null;
2019-10-16;null;null;null;null;null;null;null;null;null;null;
2019-10-17;null;null;null;null;null;null;null;null;null;null;
2019-10-18;null;null;null;null;null;null;null;null;null;null;
2019-10-19;null;null;null;null;null;null;null;null;null;null;
2019-10-20;null;null;null;null;null;null;null;null;null;null;
2019-10-21;null;null;null;null;null;null;null;null;null;null;
2019-10-22;null;null;null;null;null;null;null;null;null;null;
2019-10-23;null;null;null;null;null;null;null;null;null;null;
2019-10-24;null;null;null;null;null;null;null;null;null;null;
2019-10-25;null;null;null;null;null;null;null;null;null;null;
2019-10-26;null;null;null;null;null;null;null;null;null;null;
2019-10-27;null;null;null;null;null;null;null;null;null;null;
2019-10-28;null;null;null;null;null;null;null;null;null;null;
2019-10-29;null;null;null;null;null;null;null;null;null;null;
2019-10-30;null;null;null;null;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;null;null;null;null;
2019-11-01;null;null;null;null;null;null;null;null;null;null;
2019-11-02;null;null;null;null;null;null;null;null;null;null;
2019-11-03;null;null;null;null;null;null;null;null;null;null;
2019-11-04;null;null;null;null;null;null;null;null;null;null;
2019-11-05;null;null;null;null;null;null;null;null;null;null;
2019-11-06;null;null;null;null;null;null;null;null;null;null;
2019-11-07;null;null;null;null;null;null;null;null;null;null;
2019-11-08;null;null;null;null;null;null;null;null;null;null;
2019-11-09;null;null;null;null;null;null;null;null;null;null;
2019-11-10;null;null;null;null;null;null;null;null;null;null;
2019-11-11;null;null;null;null;null;null;null;null;null;null;
2019-11-12;null;null;null;null;null;null;null;null;null;null;
2019-11-13;null;null;null;null;null;null;null;null;null;null;
2019-11-14;null;null;null;null;null;null;null;null;null;null;
2019-11-15;null;null;null;null;null;null;null;null;null;null;
2019-11-16;null;null;null;null;null;null;null;null;null;null;
2019-11-17;null;null;null;null;null;null;null;null;null;null;
2019-11-18;null;null;null;null;null;null;null;null;null;null;
2019-11-19;null;null;null;null;null;null;null;null;null;null;
2019-11-20;null;null;null;null;null;null;null;null;null;null;
2019-11-21;null;null;null;null;null;null;null;null;null;null;
2019-11-22;null;null;null;null;null;null;null;null;null;null;
2019-11-23;null;null;null;null;null;null;null;null;null;null;
2019-11-24;null;null;null;null;null;null;null;null;null;null;
2019-11-25;null;null;null;null;null;null;null;null;null;null;
2019-11-26;null;null;null;null;null;null;null;null;null;null;
2019-11-27;null;null;null;null;null;null;null;null;null;null;
2019-11-28;null;null;null;null;null;null;null;null;null;null;
2019-11-29;null;null;null;null;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;null;null;null;null;
2019-12-01;null;null;null;null;null;null;null;null;null;null;
2019-12-02;null;null;null;null;null;null;null;null;null;null;
2019-12-03;null;null;null;null;null;null;null;null;null;null;
2019-12-04;null;null;null;null;null;null;null;null;null;null;
2019-12-05;null;null;null;null;null;null;null;null;null;null;
2019-12-06;null;null;null;null;null;null;null;null;null;null;
2019-12-07;null;null;null;null;null;null;null;null;null;null;
2019-12-08;null;null;null;null;null;null;null;null;null;null;
2019-12-09;null;null;null;null;null;null;null;null;null;null;
2019-12-10;null;null;null;null;null;null;null;null;null;null;
2019-12-11;null;null;null;null;null;null;null;null;null;null;
2019-12-12;null;null;null;null;null;null;null;null;null;null;
2019-12-13;null;null;null;null;null;null;null;null;null;null;
2019-12-14;null;null;null;null;null;null;null;null;null;null;
2019-12-15;null;null;null;null;null;null;null;null;null;null;
2019-12-16;null;null;null;null;null;null;null;null;5.5;null;
2019-12-17;null;959.475;null;30.2;24.883333;22.9;null;null;14.6;3.716667;
2019-12-18;6.6;959.7375;null;31.8;25.0125;20.2;null;null;6.8;2.3125;
2019-12-19;0;960.379167;null;30.7;25.1625;22.7;null;null;12.6;2.620833;
2019-12-20;38.6;960.3;null;31.6;25.4375;21;null;null;6.7;2.575;
2019-12-21;0;959.354167;null;33.2;27.545833;23.2;null;null;7.3;2.695833;
2019-12-22;0;960.229167;null;30.4;23.858333;21.7;null;null;21.8;4.791667;
2019-12-23;11.8;960.591667;null;30;25.0875;20.5;null;null;9.9;3.304167;
2019-12-24;0;959.220833;null;32.2;27.079167;23.7;null;null;13.5;3.645833;
2019-12-25;.2;959.7125;null;31.4;25.3875;22.3;null;null;14.2;3.2625;
2019-12-26;0;961.558333;null;29;24.1125;20.5;null;null;14.2;3.604167;
2019-12-27;0;960.1125;null;33.6;27.166667;22.7;null;null;6.4;2.508333;
2019-12-28;0;960.375;null;30.6;25.3375;22.1;null;null;7.3;2.8;
2019-12-29;3.6;959.7625;null;31.7;24.229167;20.2;null;null;17.9;2.654167;
2019-12-30;1.8;958.754167;null;28.6;24.6125;22.4;null;null;8.4;2.875;
2019-12-31;0;959.191667;null;30.5;25.204167;21.2;null;null;8.6;3.125;
2020-01-01;0;959.566667;null;29.6;24.525;21.7;null;null;9.6;2.4625;
2020-01-02;2;960.145833;null;28.1;24.020833;21.8;null;null;7.1;3.058333;
2020-01-03;15.2;960.983333;null;25.1;23.558333;21.9;null;null;8.4;2.275;
2020-01-04;36.6;960.670833;null;25.6;23.195833;21.3;null;null;17.4;3.75;
2020-01-05;4.8;960.195833;null;27.2;23.566667;22.4;null;null;10.8;2.258333;
2020-01-06;65.4;960.983333;null;28;23.529167;21.2;null;null;10.7;2.695455;
2020-01-07;1;961.866667;null;28.9;24.4;21.9;null;null;6.1;1.875;
2020-01-08;0;961.6125;null;29;24.7;21.8;null;null;6.4;1.8875;
2020-01-09;14.6;962.275;null;30.2;24.891667;21.5;null;null;8.4;3.175;
2020-01-10;.4;960.75;null;32.5;26.683333;23;null;null;8.6;2.179167;
2020-01-11;0;960.170833;null;28.5;24.958333;22.9;null;null;10.7;3.229167;
2020-01-12;1.8;961.278261;null;32.1;25.752174;20.5;null;null;4.4;1.443478;
2020-01-13;7.8;962.154167;null;27.2;23.283333;20.2;null;null;14.3;2.9375;
2020-01-14;5.8;961.15;null;33.4;26.35;20.2;null;null;4.9;1.745833;
2020-01-15;0;959.791667;null;33.5;27.366667;23.6;null;null;6.5;2.4875;
2020-01-16;2.4;961.2625;null;30.8;26.408333;23.8;null;null;11.5;2.0875;
2020-01-17;0;962.641667;null;29.2;25.541667;22.2;null;null;7.8;3.3375;
2020-01-18;0;961.754167;null;32.5;27.779167;23;null;null;6.2;1.979167;
2020-01-19;0;960.65;null;31.3;26.741667;23.9;null;null;11.3;2.325;
2020-01-20;0;960.129167;null;31.2;26.095833;21.6;null;null;5.9;2.358333;
2020-01-21;0;958.541667;null;31.5;26.370833;22.8;null;null;7.9;2.025;
2020-01-22;0;958.654167;null;28.9;24.116667;22;null;null;10.2;2.879167;
2020-01-23;19.4;958.475;null;28.5;23.525;21.9;null;null;13.2;2.733333;
2020-01-24;23.6;958.854167;null;26.8;23.266667;21.7;null;null;13.2;3.0125;
2020-01-25;22.8;960.458333;null;29.1;23.666667;21.5;null;null;16;2.729167;
2020-01-26;18.8;960.916667;null;29.6;25.0625;21.8;null;null;8.4;2.041667;
2020-01-27;.2;960.920833;null;30;24.170833;22.6;null;null;10.4;2.320833;
2020-01-28;28.6;961.995833;null;28.4;23.65;21.2;null;null;9.3;2.2375;
2020-01-29;0;962.886957;null;26.8;23.73913;22.6;null;null;7.6;1.665217;
2020-01-30;8.6;962.930435;null;30.7;25.304348;21;null;null;6.4;2.517391;
2020-01-31;0;962.420833;null;31.5;25.295833;22.5;null;null;10.2;3.333333;
2020-02-01;.4;961.865217;null;33.1;27.756522;22.8;null;null;4.8;2.017391;
2020-02-02;0;961.5625;null;32.2;27.05;22.8;null;null;9.6;1.966667;
2020-02-03;0;961.604167;null;30;26.058333;22.6;null;null;11.8;2.195833;
2020-02-04;0;962.175;null;29.7;24.4625;22;null;null;11.1;2.291667;
2020-02-05;27.2;961.991667;null;29.6;24.379167;21.3;null;null;9.8;2.429167;
2020-02-06;29.8;961.958333;null;28.4;24.041667;22;null;null;7.9;1.629167;
2020-02-07;52.2;960.266667;null;28.2;23.6375;21.7;null;null;7.6;3.1375;
2020-02-08;3.2;960.279167;null;26.8;23.104167;21.6;null;null;10;2.808333;
2020-02-09;67.8;963.541667;null;27.1;22.541667;20.5;null;null;8.9;2.3125;
2020-02-10;1;963.991667;null;29.6;24.275;21.1;null;null;5.9;2.266667;
2020-02-11;0;961.713043;null;33;27.53913;23.4;null;null;6.9;2.395652;
2020-02-12;.2;961.266667;null;26.2;23.454167;21.7;null;null;8.1;2.545833;
2020-02-13;12.8;961.475;null;30.5;24.6375;20.5;null;null;7.4;1.9125;
2020-02-14;9.4;960.7625;null;32.8;27.483333;23.1;null;null;6.1;2.204167;
2020-02-15;20.4;960.383333;null;31.9;27.166667;22.2;null;null;15.3;2.333333;
2020-02-16;.4;960.975;null;31.2;25.645833;22.5;null;null;6.7;1.554167;
2020-02-17;0;960.4;null;30.7;26.233333;23;null;null;13.3;2.1375;
2020-02-18;7.2;960.825;null;30.6;25.545833;22.7;null;null;12.4;2.208333;
2020-02-19;.4;959.483333;null;31.5;26.354167;22.4;null;null;7.4;2.15;
2020-02-20;31.4;959.934783;null;27.7;23.821739;21.1;null;null;9.2;2.213043;
2020-02-21;3.8;961.043478;null;29;25.165217;22.1;null;null;6.8;1.843478;
2020-02-22;1;962.104167;null;30.6;25.2125;21.5;null;null;9.3;2.395833;
2020-02-23;0;962.183333;null;31.5;26.354167;22.8;null;null;6.5;2.4125;
2020-02-24;75.8;961.758333;null;30.5;24.775;21.2;null;null;14.2;3.2;
2020-02-25;0;961.225;null;31.3;25.795833;23.5;null;null;9.9;2.708333;
2020-02-26;0;960.9875;null;30.4;24.695833;22.1;null;null;8.9;2.8125;
2020-02-27;.6;960.370833;null;32.1;26.591667;22.9;null;null;7.7;2.341667;
2020-02-28;0;961.975;null;29.5;25.029167;22.9;null;null;8.5;2.954167;
2020-02-29;7.8;963.141667;null;28.2;24.8625;23;null;null;10.1;3.275;
2020-03-01;5.8;962.383333;null;31;25.15;21.8;null;null;6.6;1.825;
2020-03-02;2;960.741667;null;29.1;25.445833;23.2;null;null;13.7;3.058333;
2020-03-03;13;960.654167;null;31.2;25.420833;22.6;null;null;9.5;3.379167;
2020-03-04;2.4;962.179167;null;30.4;25.083333;22.4;null;null;8.7;2.129167;
2020-03-05;0;962.270833;null;30.6;25.1125;22.4;null;null;8.3;1.7625;
2020-03-06;3.2;961.879167;null;28.8;24.308333;22.4;null;null;8.1;2.475;
2020-03-07;3.6;960.3875;null;31.2;25.241667;22.6;null;null;9.9;2.666667;
2020-03-08;10;960.754167;null;29.1;24.041667;22.7;null;null;8.8;1.775;
2020-03-09;54.4;961.9875;null;30.4;24.358333;22.1;null;null;8.3;2.4125;
2020-03-10;3.2;961.254167;null;30.3;25.55;23.5;null;null;9.9;2.0125;
2020-03-11;3.4;960.129167;null;29.1;25.279167;23.3;null;null;8.5;2.386364;
2020-03-12;8.4;960.779167;null;28.1;23.7625;22;null;null;7.6;2.308333;
2020-03-13;1.8;961.041667;null;30.4;25.308333;22.3;null;null;6.5;1.8;
2020-03-14;6.2;961.2875;null;30.8;25.5125;20.7;null;null;16.2;2.145833;
2020-03-15;.2;961.954167;null;28.8;23.895833;22.9;null;null;13.8;2.470833;
2020-03-16;20.2;962.245833;null;30.6;24.4375;21;null;null;7.7;1.8625;
2020-03-17;1.4;961.733333;null;30.8;26.1375;22.5;null;null;9.8;2.5;
2020-03-18;0;961.279167;null;32.3;27.5875;24.8;null;null;8.1;1.404167;
2020-03-19;1.6;960.0875;null;31.8;25.816667;21.8;null;null;11.5;2.433333;
2020-03-20;8.6;959.929167;null;29.4;24.729167;22.3;null;null;9.9;2.991667;
2020-03-21;0;960.933333;null;28.5;24.158333;21.9;null;null;7.8;3.0125;
2020-03-22;1.4;962.083333;null;30;25.095833;22.3;null;null;6.5;2.033333;
2020-03-23;0;962.066667;null;30.9;25.7375;23.6;null;null;8;1.733333;
2020-03-24;4.2;961.204167;null;30.4;24.979167;22.7;null;null;12.2;2.420833;
2020-03-25;25.8;960.8125;null;28.6;23.620833;21.1;null;null;8.2;1.929167;
2020-03-26;8.4;959.75;null;29.6;25.166667;21.3;null;null;8.7;2.1875;
